Designator,Footprint,Quantity,Value,LCSC Part #
R7,R0805,1,1K,C17513
R9,R0805,1,1K,C17513
R10,R0805,1,1K,C17513
R6,R0805,1,1K,C17513
R16,R0805,1,1K,C17513
R15,R0805,1,1K,C17513
D1,LED_0603_1608Metric,1,BLUE,C72041
R14,R0805,1,1K,C17513
R4,R0805,1,1K,C17513
R12,R0805,1,1K,C17513
U3,RJ45-TH_B-1-4,1,RJ45-B-1*4,C138390
R17,R0805,1,1.8K,
R8,R0805,1,1K,C17513
R5,R0805,1,1K,C17513
R11,R0805,1,1K,C17513
R2,R0805,1,1K,C17513
U2,RJ45-TH_B-1-4,1,RJ45-B-1*4,C138390
R1,R0805,1,1K,C17513
R13,R0805,1,1K,C17513
R3,R0805,1,1K,C17513
