Designator,Footprint,Quantity,Value,LCSC Part #
R2,R_0805_2012Metric,1,120R,C17437
MASTER-2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
R4,R_0805_2012Metric,1,1.8K,C17398
D3,LED_0603_1608Metric,1,BLUE,C72041
BUS3,CONN-TH_430450812,1,Conn_02x04_Top_Bottom,C277661
C1,C0402,1,100n,C1525
C3,C0402,1,100n,C1525
R5,R_0805_2012Metric,1,1.8K,C17398
MASTER-1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
D1,LED_0603_1608Metric,1,BLUE,C72041
D2,LED_0603_1608Metric,1,BLUE,C72041
D4,LED_0603_1608Metric,1,BLUE,C72041
C2,C0402,1,100n,C1525
R6,R_0805_2012Metric,1,1.8K,C17398
R7,R_0805_2012Metric,1,400R,C17655
BUS2,CONN-TH_430450812,1,Conn_02x04_Top_Bottom,C277661
MASTER-3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
R1,R_0805_2012Metric,1,120R,C17437
R3,R_0805_2012Metric,1,120R,C17437
BUS1,CONN-TH_430450812,1,Conn_02x04_Top_Bottom,C277661
J1,PinHeader_1x08_P2.54mm_Vertical,1,Power,C124381
J2,PinHeader_1x08_P2.54mm_Vertical,1,PWM,C124381
J3,PinHeader_1x08_P2.54mm_Vertical,1,Communication,C124381
