Designator,Mid X,Mid Y,Rotation,Layer
R2,42.559019,31.115,-90.0,top
MASTER-2,36.209019,31.115,-90.0,top
R4,74.93,40.64,180.0,top
PSU1,95.2846,34.93325,90.0,top
D3,78.74,17.78,180.0,top
BUS3,52.705,12.7,0.0,top
C1,38.1,48.311,0.0,top
C3,38.203934,20.955,0.0,top
R5,74.93,29.21,180.0,top
MASTER-1,36.209019,44.501,-90.0,top
D1,78.74,40.64,180.0,top
D2,78.74,29.21,180.0,top
PSU3,95.25,12.065,90.0,top
D4,52.07,2.54,0.0,top
PSU2,95.25,23.495,90.0,top
C2,38.114019,34.925,0.0,top
R6,74.93,17.78,180.0,top
R7,52.07,5.08,180.0,top
F2,76.835,23.495,180.0,top
BUS2,52.705,26.67,0.0,top
MASTER-3,36.209019,17.145,-90.0,top
R1,42.559019,44.45,-90.0,top
F1,76.835,34.925,180.0,top
F3,76.835,12.065,180.0,top
R3,42.559019,17.145,-90.0,top
BUS1,52.705,40.005,0.0,top
J1,27.94,2.54,-90.0,bottom
J2,45.72,50.8,-90.0,bottom
J3,68.58,50.8,-90.0,bottom
