Designator,Mid X,Mid Y,Rotation,Layer
F9,135.5,-114.713915,180.0,top
R12,149.550997,-88.724665,-90.0,top
U8,126.5,-78.684469,0.0,top
D2,115.131001,-68.512165,-90.0,top
F2,135.5,-74.434469,0.0,top
D6,135.5,-78.684469,180.0,top
R6,108.881001,-80.724665,0.0,top
D9,151.419996,-88.474665,90.0,top
D7,151.419996,-72.724665,90.0,top
D4,121.881001,-68.474665,-90.0,top
C16,106.131001,-108.885765,90.0,top
U3,103.381001,-78.974665,90.0,top
R3,103.631001,-106.135764,180.0,top
U14,126.5,-94.434469,0.0,top
BUS1,145.909246,-80.101469,0.0,top
D8,135.5,-94.434469,180.0,top
C14,101.054801,-84.974665,180.0,top
F6,135.5,-98.974665,180.0,top
C2,114.842901,-88.885765,180.0,top
R1,117.631001,-84.474665,90.0,top
F8,135.5,-105.923719,0.0,top
D3,111.131001,-73.224665,180.0,top
Y1,109.131002,-108.885765,180.0,top
C6,120.881001,-100.5,-90.0,top
U2,111.381001,-98.385764,0.0,top
SW1,117.631001,-78.474665,90.0,top
BUS3,145.849075,-111.590719,0.0,top
F7,157.800997,-94.485415,90.0,top
F5,135.5,-90.184469,0.0,top
R10,149.550997,-72.974665,-90.0,top
PSU2,165.041026,-94.485415,90.0,top
U20,126.439829,-110.173719,0.0,top
C12,109.881001,-74.974665,180.0,top
C8,106.931801,-88.885764,180.0,top
R5,108.881001,-82.224665,0.0,top
D1,101.631001,-105.352745,-90.0,top
C1,99.851029,-88.474665,180.0,top
R7,120.131001,-70.224665,180.0,top
C17,125.140081,-72.974665,0.0,top
C5,103.631001,-108.178945,-90.0,top
C13,109.881001,-76.224665,180.0,top
D5,127.881001,-68.474665,-90.0,top
C15,112.131001,-108.885765,90.0,top
D11,151.359825,-104.213915,90.0,top
D10,135.5,-110.173719,180.0,top
F4,157.800997,-78.735415,90.0,top
C4,101.381,-96.885765,180.0,top
R9,132.5,-78.684469,-90.0,top
C19,125.07991,-104.463915,0.0,top
R11,132.5,-94.434469,-90.0,top
BUS2,145.909246,-95.851469,0.0,top
C18,125.140081,-88.724665,0.0,top
R2,113.631001,-68.512165,90.0,top
J2,110.856001,-117.474665,90.0,top
R14,149.490826,-104.463915,-90.0,top
R13,132.439829,-110.173719,-90.0,top
PSU3,164.980855,-110.224665,90.0,top
R8,126.381001,-70.224665,180.0,top
C3,103.131001,-90.724665,180.0,top
C7,99.131001,-85.724665,90.0,top
F3,135.5,-83.224665,180.0,top
F10,157.740826,-110.224665,90.0,top
J3,107.881001,-68.224665,180.0,top
PSU1,165.041026,-78.735415,90.0,top
