Designator,Footprint,Quantity,Value,LCSC Part #
R7,R0805,1,1.8K,C17398
R9,R0805,1,1.8K,C17398
R10,R0805,1,1.8K,C17398
R6,R0805,1,1.8K,C17398
R16,R0805,1,1.8K,C17398
R15,R0805,1,1.8K,C17398
D1,LED_0603_1608Metric,1,BLUE,C72041
R14,R0805,1,1.8K,C17398
R4,R0805,1,1.8K,C17398
R12,R0805,1,1.8K,C17398
U3,RJ45-TH_B-1-4,1,RJ45-B-1*4,C138390
R17,R0805,1,4.7K,C17673
R8,R0805,1,1.8K,C17398
R5,R0805,1,1.8K,C17398
R11,R0805,1,1.8K,C17398
R2,R0805,1,1.8K,C17398
U2,RJ45-TH_B-1-4,1,RJ45-B-1*4,C138390
R1,R0805,1,1.8K,C17398
R13,R0805,1,1.8K,C17398
R3,R0805,1,1.8K,C17398
