Designator,Mid X,Mid Y,Rotation,Layer
R7,181.323106,-91.65217,0.0,top
R9,122.141106,-91.65217,0.0,top
R10,112.616106,-91.65217,180.0,top
R6,96.995106,-91.65217,180.0,top
R16,203.294106,-91.65217,180.0,top
J2,65.880106,-92.28717,-90.0,top
R15,214.724106,-91.65217,180.0,top
D1,221.614999,-105.791,180.0,top
R14,128.364106,-91.65217,180.0,top
R4,156.050106,-91.65217,180.0,top
R12,187.546106,-91.65217,180.0,top
U3,183.355106,-103.71717,0.0,top
R17,221.615,-103.251,180.0,top
R8,171.798106,-91.65217,180.0,top
J1,225.725106,-92.54792,90.0,top
R5,106.390106,-91.65217,0.0,top
R11,197.071106,-91.65217,0.0,top
R2,81.120106,-91.65217,180.0,top
U2,108.425106,-103.71717,0.0,top
R1,90.645106,-91.65217,0.0,top
R13,137.889106,-91.65217,0.0,top
R3,165.575106,-91.65217,0.0,top
