Designator,Footprint,Quantity,Value,LCSC Part #
D91,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D94,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D40,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D22,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D83,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D77,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
R1,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,2K,
H2,MountingHole_2.2mm_M2_Pad,1,GND,
D86,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D95,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D37,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D75,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D78,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D12,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D65,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D67,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D68,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D6,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D72,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D17,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D23,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D51,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D89,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D35,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D31,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D55,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D7,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D69,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
H5,MountingHole_4mm,1,MountingHole,
D2,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D73,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D11,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D27,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D71,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D84,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D45,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D15,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D30,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D57,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D13,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D56,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D59,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D92,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D44,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D79,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D26,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
H4,MountingHole_4mm,1,MountingHole,
D63,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D20,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
D43,LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,1,GREEN,
