Designator,Mid X,Mid Y,Rotation,Layer
D91,86.6098,-215.265,90.0,top
D94,121.5348,-215.265,90.0,top
D40,147.5698,-131.6475,90.0,top
D22,121.474946,-107.315,90.0,top
D83,86.6098,-203.25,90.0,top
D77,112.6448,-191.135,90.0,top
R1,77.7198,-111.125,180.0,top
D86,121.5348,-203.2,90.0,top
D95,138.6798,-215.265,90.0,top
D37,112.6448,-131.445,90.0,top
D75,86.6098,-191.135,90.0,top
D78,121.5348,-191.135,90.0,top
D12,95.4998,-95.25,90.0,top
D65,60.5748,-179.07,90.0,top
D67,86.6098,-179.07,90.0,top
D68,95.4998,-179.07,90.0,top
D6,121.562726,-83.185,90.0,top
D72,147.5698,-179.07,90.0,top
D17,60.5748,-107.315,90.0,top
D23,138.6798,-107.315,90.0,top
D51,86.5998,-154.95,90.0,top
D89,60.5748,-215.4675,90.0,top
D35,86.6098,-131.445,90.0,top
D31,138.6798,-119.38,90.0,top
D55,138.6798,-154.94,90.0,top
D7,138.588052,-83.185,90.0,top
D69,112.6448,-179.07,90.0,top
D2,69.492726,-83.185,90.0,top
D73,60.512629,-191.135,90.0,top
D11,86.54858,-95.25,90.0,top
D27,86.6098,-119.38,90.0,top
D71,138.6798,-179.07,90.0,top
D84,95.4998,-203.2,90.0,top
D45,112.6448,-142.875,90.0,top
D15,138.6798,-95.25,90.0,top
D30,121.5348,-119.38,90.0,top
D57,60.5748,-167.005,90.0,top
D13,112.6448,-95.25,90.0,top
D56,147.5698,-154.94,90.0,top
D59,86.6098,-167.005,90.0,top
D92,95.4998,-215.265,90.0,top
D44,95.4998,-143.0775,90.0,top
D79,138.6798,-191.135,90.0,top
D26,69.4648,-119.38,90.0,top
D63,138.6798,-167.005,90.0,top
D20,95.4998,-107.315,90.0,top
D43,86.6098,-142.875,90.0,top
D34,69.4648,-131.445,90.0,top
D4,95.527726,-83.185,90.0,top
D46,121.5348,-142.875,90.0,top
D38,121.5348,-131.445,90.0,top
R3,77.7198,-195.58,180.0,top
D21,112.6448,-107.315,90.0,top
D49,60.5748,-154.94,90.0,top
D36,95.4998,-131.445,90.0,top
D1,60.5748,-83.185,90.0,top
D18,69.4648,-107.315,90.0,top
D14,121.562726,-95.25,90.0,top
D81,60.5748,-203.2,90.0,top
D70,121.5348,-179.07,90.0,top
D10,69.404946,-95.25,90.0,top
D42,69.4648,-142.875,90.0,top
D32,147.5698,-119.38,90.0,top
D80,147.5698,-191.135,90.0,top
D48,147.5698,-142.875,90.0,top
D16,147.5698,-95.25,90.0,top
D62,121.5348,-167.005,90.0,top
D25,60.5748,-119.38,90.0,top
D3,86.6098,-83.185,90.0,top
D47,138.6798,-142.875,90.0,top
R2,77.7198,-153.035,180.0,top
D8,147.597726,-83.185,90.0,top
D90,69.4648,-215.265,90.0,top
D19,86.6098,-107.315,90.0,top
D41,60.5748,-142.875,90.0,top
D76,95.4998,-191.135,90.0,top
D61,112.6448,-167.005,90.0,top
D58,69.4648,-167.005,90.0,top
D74,69.4648,-191.135,90.0,top
D9,60.5748,-95.25,90.0,top
D5,112.6448,-83.3875,90.0,top
D54,121.5348,-154.94,90.0,top
D24,147.5698,-107.315,90.0,top
D29,112.6448,-119.38,90.0,top
D50,69.4648,-154.94,90.0,top
D60,95.4998,-167.005,90.0,top
D64,147.5698,-167.005,90.0,top
D28,95.4998,-119.5825,90.0,top
D87,138.6798,-203.2,90.0,top
D39,138.6798,-131.445,90.0,top
D88,147.5698,-203.2,90.0,top
D33,60.5748,-131.445,90.0,top
D96,147.5698,-215.265,90.0,top
D85,112.6448,-203.2,90.0,top
D82,69.4648,-203.2,90.0,top
D93,112.6448,-215.265,90.0,top
D53,112.6448,-154.94,90.0,top
D52,95.4998,-154.94,90.0,top
D66,69.4648,-179.07,90.0,top
U2,81.5198,-132.725,180.0,bottom
U1,81.5198,-90.815,180.0,bottom
U3,81.5198,-175.27,180.0,bottom
C3,70.7348,-195.58,0.0,bottom
J1,47.2398,-102.235,0.0,bottom
C1,70.7348,-111.125,0.0,bottom
C2,70.7348,-153.035,0.0,bottom
