Designator,Footprint,Quantity,Value,LCSC Part #
H2,MountingHole_4mm,1,MountingHole,
SW29,SW-TH_K6-1212A-04,1,CLR,
SW23,SW-TH_K6-1212A-04,1,STEER -,
R6,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
D26,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D28,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
R9,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.5K,
R16,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.5K,
R19,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
SW4,SW-TH_K6-1212A-04,1,HACK,
SW16,SW-TH_K6-1212A-04,1,LTR,
R23,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
R2,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.5K,
SW27,SW-TH_K6-1212A-04,1,9,
H4,MountingHole_4mm,1,MountingHole,
R5,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
SW19,SW-TH_K6-1212A-04,1,COM SEC,
SW31,SW-TH_K6-1212A-04,1,COM 2,
D12,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW3,SW-TH_K6-1212A-04,1,3,
D4,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,AMBER,
SW9,SW-TH_K6-1212A-04,1,SEL +,
D25,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
R13,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
D27,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW8,SW-TH_K6-1212A-04,1,DATA +,
SW5,SW-TH_K6-1212A-04,1,FUNC,
D19,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D1,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D8,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW32,SW-TH_K6-1212A-04,1,ECCM,
D23,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D20,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D7,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
R18,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
SW33,SW-TH_K6-1212A-04,1,IDM R/T,
SW2,SW-TH_K6-1212A-04,1,2,
D3,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,AMBER,
SW21,SW-TH_K6-1212A-04,1,DATA -,
D2,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW35,SW-TH_K6-1212A-04,1,INTEN >,
R15,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.5K,
D15,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW22,SW-TH_K6-1212A-04,1,SEL -,
R20,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,1,1.1K,
D11,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D14,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW25,SW-TH_K6-1212A-04,1,7,
H1,MountingHole_4mm,1,MountingHole,
SW18,SW-TH_K6-1212A-04,1,COM 1,
D17,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
D13,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW30,SW-TH_K6-1212A-04,1,ALT ALRT,
SW15,SW-TH_K6-1212A-04,1,0,
H3,MountingHole_4mm,1,MountingHole,
SW6,SW-TH_K6-1212A-04,1,ENT,
SW11,SW-TH_K6-1212A-04,1,DEPR +,
D22,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,GREEN,
SW12,SW-TH_K6-1212A-04,1,4,
SW24,SW-TH_K6-1212A-04,1,DEPR -,
SW10,SW-TH_K6-1212A-04,1,STEER +,
