Designator,Mid X,Mid Y,Rotation,Layer
SW29,127.762,-113.411,180.0,top
SW23,34.036,-105.791,180.0,top
R6,65.532,-86.868,0.0,top
D26,92.329,-122.301,0.0,top
D28,127.762,-122.301,0.0,top
R9,136.652,-104.648,0.0,top
R16,256.032,-72.898,90.0,top
R19,207.137,-91.313,0.0,top
SW4,109.982,-77.978,0.0,top
SW16,127.889,-95.631,180.0,top
R23,221.387,-123.063,180.0,top
R2,234.442,-71.628,0.0,top
SW27,92.329,-113.411,180.0,top
R5,50.292,-86.868,0.0,top
SW19,185.42,-100.076,180.0,top
SW31,167.64,-117.856,0.0,top
D12,43.815,-92.583,-90.0,top
SW3,92.329,-77.978,180.0,top
D4,176.276,-80.518,90.0,top
SW9,244.602,-77.724,180.0,top
D25,74.549,-122.301,0.0,top
R13,101.092,-71.755,0.0,top
D27,109.982,-122.301,0.0,top
SW8,224.382,-77.724,180.0,top
SW5,127.889,-77.978,180.0,top
D19,109.982,-104.648,0.0,top
D1,214.249,-80.518,-90.0,top
D8,56.769,-86.868,0.0,top
SW32,185.42,-117.856,180.0,top
D23,34.036,-115.189,180.0,top
D20,145.542,-104.648,0.0,top
D7,234.696,-94.107,-90.0,top
R18,159.512,-89.0905,0.0,top
SW33,203.2,-117.856,0.0,top
SW2,74.549,-77.978,0.0,top
D3,194.564,-80.518,-90.0,top
SW21,224.382,-93.091,180.0,top
D2,234.696,-76.835,-90.0,top
SW35,242.189,-113.538,180.0,top
R15,36.957,-74.168,0.0,top
D15,255.016,-102.997,-90.0,top
SW22,244.602,-93.091,180.0,top
R20,101.092,-106.553,0.0,top
D11,109.982,-86.868,0.0,top
D14,43.815,-102.743,-90.0,top
SW25,56.769,-113.411,180.0,top
SW18,167.64,-100.076,0.0,top
D17,74.549,-104.648,0.0,top
D13,255.016,-93.207646,-90.0,top
SW30,145.542,-113.411,0.0,top
SW15,109.982,-95.758,0.0,top
SW6,148.209,-77.978,0.0,top
SW11,264.922,-90.424,180.0,top
D22,238.252,-104.648,0.0,top
SW12,56.769,-95.758,180.0,top
SW24,264.922,-105.791,180.0,top
SW10,34.036,-90.424,180.0,top
R8,101.092,-83.947,0.0,top
R10,255.016,-84.963,-90.0,top
R21,159.512,-109.093,0.0,top
SW17,145.542,-95.631,0.0,top
R11,223.012,-104.648,0.0,top
R22,207.137,-109.093,0.0,top
SW34,226.822,-113.538,180.0,top
R1,214.249,-72.898,-90.0,top
D16,56.769,-104.648,0.0,top
SW20,203.2,-100.076,0.0,top
R17,101.092,-89.789,0.0,top
D18,92.329,-104.648,0.0,top
R4,40.132,-80.518,-90.0,top
R12,40.132,-115.189,180.0,top
R3,200.787,-80.518,90.0,top
SW28,109.982,-113.411,0.0,top
D5,34.036,-80.518,180.0,top
D10,92.329,-86.868,0.0,top
R7,83.667,-86.868,0.0,top
R14,159.512,-71.755,0.0,top
SW26,74.549,-113.411,0.0,top
D6,214.249,-90.424,-90.0,top
SW7,185.42,-80.518,0.0,top
R24,247.777,-123.063,0.0,top
D24,56.769,-122.301,0.0,top
D9,74.549,-86.868,0.0,top
SW13,74.549,-95.758,0.0,top
D21,230.632,-104.648,0.0,top
SW1,56.769,-77.978,180.0,top
SW14,92.329,-95.758,180.0,top
J1,132.842,-122.423,-90.0,bottom
J3,168.7195,-79.5655,180.0,bottom
J2,215.392,-98.933,180.0,bottom
