Designator,Mid X,Mid Y,Rotation,Layer
U9,98.050997,-96.247644,180.0,top
J28,128.0334,-122.080087,180.0,top
J11,94.550997,-69.571615,0.0,top
J2,169.0,-108.831,-90.0,top
J15,116.8734,-69.571615,0.0,top
J5,155.9334,-122.087965,180.0,top
J36,81.1112,-103.251,90.0,top
J7,144.7734,-122.087965,180.0,top
J21,150.3534,-69.571615,0.0,top
J17,128.0334,-69.571615,0.0,top
J19,139.1934,-69.571615,0.0,top
J4,161.5134,-122.087965,180.0,top
J9,133.6134,-122.087965,180.0,top
J6,150.3534,-122.087965,180.0,top
J20,144.7734,-69.571615,0.0,top
J10,88.9734,-69.571615,0.0,top
J40,81.1112,-114.411,90.0,top
J30,116.8734,-122.080087,180.0,top
J37,81.1112,-77.089,90.0,top
J33,100.1334,-122.080087,180.0,top
J8,139.1934,-122.087965,180.0,top
J25,169.0,-92.091,-90.0,top
J12,100.1334,-69.571615,0.0,top
J3,169.0,-114.411,-90.0,top
J14,111.2934,-69.571615,0.0,top
J32,105.7134,-122.080087,180.0,top
J18,133.6134,-69.571615,0.0,top
J23,161.5134,-69.571615,0.0,top
J31,111.2934,-122.080087,180.0,top
J27,169.0,-103.251,-90.0,top
J13,105.7134,-69.571615,0.0,top
J16,122.4534,-69.571615,0.0,top
J22,155.9334,-69.571615,0.0,top
J24,169.0,-86.511,-90.0,top
J29,122.4534,-122.080086,180.0,top
J26,169.0,-97.671,-90.0,top
J41,81.1112,-108.831,90.0,top
J35,88.9734,-122.080087,180.0,top
J34,94.5534,-122.080087,180.0,top
C4,126.550997,-104.01975,-90.0,top
SW1,168.550997,-78.318997,90.0,top
U5,117.943905,-96.020558,-90.0,top
J1,151.575997,-85.749665,180.0,top
D4,107.751039,-104.901623,135.0,top
U4,91.673489,-108.419634,90.0,top
R1,158.300997,-82.273912,90.0,top
C6,136.309215,-83.16197,0.0,top
C8,101.351055,-85.574671,90.0,top
SW3,102.015997,-110.92733,90.0,top
RJ1,84.377328,-90.17,-90.0,top
J39,153.050997,-95.974665,0.0,top
U6,102.181998,-100.774633,180.0,top
U7,102.181998,-105.174622,0.0,top
C9,100.050997,-82.224665,-90.0,top
C12,136.292649,-81.378226,0.0,top
F1,112.163526,-107.174617,180.0,top
C7,112.951026,-86.524663,-90.0,top
R7,159.800997,-107.524665,90.0,top
SW2,118.551012,-108.101615,-90.0,top
C13,139.440997,-103.974645,180.0,top
U2,114.225361,-99.705645,90.0,top
R2,119.751009,-101.574631,-90.0,top
U3,105.800997,-81.174682,90.0,top
C2,140.800997,-95.474665,0.0,top
C14,149.800997,-94.474665,180.0,top
U10,103.35105,-89.574661,-90.0,top
D2,91.800997,-80.645,0.0,top
C16,106.951041,-93.98735,-90.0,top
U1,130.550997,-93.974665,180.0,top
C1,140.050997,-82.228226,90.0,top
R3,146.048497,-113.349665,180.0,top
C5,120.800997,-93.974665,-45.0,top
R4,87.85108,-100.774633,180.0,top
U8,94.550997,-100.774633,0.0,top
D1,146.048497,-114.974665,180.0,top
R9,104.551047,-93.174652,0.0,top
R8,122.151003,-101.97463,90.0,top
C3,139.440997,-101.637165,0.0,top
C10,109.050997,-99.974665,90.0,top
C15,100.925656,-93.174652,0.0,top
F3,94.950996,-91.574656,-90.0,top
C11,130.050997,-82.533085,-90.0,top
R10,105.376445,-95.599648,-90.0,top
Y1,132.913197,-82.228226,0.0,top
F2,112.151028,-108.774613,0.0,top
R5,94.550997,-83.974675,-90.0,top
R6,94.550997,-79.724665,-90.0,top
D3,161.800997,-107.524665,90.0,top
