Designator,Mid X,Mid Y,Rotation,Layer
R7,223.52,-113.974915,90.0,top
D3,225.52,-113.974915,90.0,top
R3,197.52,-125.474915,180.0,top
J7,195.0276,-138.21,90.0,top
U5,135.22,-98.004828,-90.0,top
U2,131.501456,-101.689916,90.0,top
J28,165.0048,-138.202122,90.0,top
J11,104.9288,-65.02,-90.0,top
C4,157.02,-112.02,-90.0,top
J2,235.02,-116.5124,180.0,top
J15,144.9592,-65.02,-90.0,top
SW1,193.02,-84.02,0.0,top
J1,191.749999,-97.545,180.0,top
J5,215.0428,-138.21,90.0,top
J36,85.206456,-105.345691,0.0,top
U4,101.02,-121.02,90.0,top
J21,205.0048,-65.02,-90.0,top
J17,164.9744,-65.02,-90.0,top
J19,184.9896,-65.02,-90.0,top
R1,186.52,-86.474915,90.0,top
C6,166.778218,-91.16222,180.0,top
J4,225.0504,-138.21,90.0,top
C8,115.994906,-87.088669,0.0,top
SW3,116.02,-118.493948,90.0,top
RJ1,90.286456,-90.17,-90.0,top
J39,183.695,-108.949915,90.0,top
C9,106.891456,-83.185,-90.0,top
C12,166.761652,-89.378476,0.0,top
J9,175.0124,-138.21,90.0,top
J6,205.0352,-138.21,90.0,top
J20,194.9972,-65.02,-90.0,top
J10,94.9212,-65.02,-90.0,top
J40,85.206456,-128.02,0.0,top
C7,111.336456,-89.535,180.0,top
J30,144.9896,-138.202122,90.0,top
J37,85.206456,-75.02,0.0,top
SW2,121.0,-101.689916,0.0,top
C13,169.91,-111.974895,180.0,top
J33,114.9668,-138.202122,90.0,top
J8,185.02,-138.21,90.0,top
J25,235.02,-86.4896,180.0,top
R2,115.372456,-100.1395,90.0,top
U3,111.336456,-81.28,90.0,top
J12,114.9364,-65.02,-90.0,top
C2,171.52,-103.474915,0.0,top
C14,192.02,-105.974915,0.0,top
D2,119.02,-89.474916,90.0,top
J3,235.02,-126.52,180.0,top
U1,161.02,-101.974915,180.0,top
J14,134.9516,-65.02,-90.0,top
C1,170.52,-90.228476,90.0,top
C5,151.02,-100.974915,180.0,top
J32,124.9744,-138.202122,90.0,top
J18,174.982,-65.02,-90.0,top
R4,100.446456,-94.474915,90.0,top
J23,225.02,-65.02,-90.0,top
D1,197.52,-127.474915,180.0,top
J31,134.982,-138.202122,90.0,top
J27,235.02,-106.5048,180.0,top
J13,124.944,-65.02,-90.0,top
J16,154.9668,-65.02,-90.0,top
C3,169.91,-109.637415,0.0,top
J22,215.0124,-65.02,-90.0,top
C10,128.806425,-108.5,-90.0,top
J24,235.02,-76.482,180.0,top
J29,154.9972,-138.202121,90.0,top
J26,235.02,-96.4972,180.0,top
C11,159.76319,-91.078476,0.0,top
Y1,163.3822,-90.228476,0.0,top
J41,85.206456,-116.662812,0.0,top
J35,94.9516,-138.202122,90.0,top
J34,104.9592,-138.202122,90.0,top
R5,100.446456,-85.725,-90.0,top
R6,119.02,-85.664915,-90.0,top
